SEED,protected_att,target,model_name,method,anon_parameter,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
32,RAC1P,PINCP,LGBM,t-closeness,0.5,0.25261716198152123,0.22446517983622294,0.00036950873791541383,0.1894095399343011,0.027000371721292882,0.7130069089816762,0.7247796278158668,0.6915507668627343,0.7613629486170792,0.7133587570663377,"[[11156  5611]
 [ 3943 12580]]",0.021058371551204432,1.0775202725251505,0.02047086439132432
33,RAC1P,PINCP,LGBM,t-closeness,0.5,0.19972183570481067,0.18274232880678176,0.00872193679110611,0.12534538731095432,0.051602976346750484,0.7176930009011715,0.7179979595511012,0.716965302331156,0.7190335957689765,0.717693483969408,"[[11928  4723]
 [ 4675 11964]]",0.02094623424511603,1.1314572655012936,0.020402683126149315
34,RAC1P,PINCP,LGBM,t-closeness,0.5,0.2155251946049871,0.18325278551627178,-0.006831422627816663,0.16141737442079307,0.01990919226790966,0.7127966356263142,0.7173726684205859,0.6990839430777208,0.7366440019426906,0.7130419438896471,"[[11595  5223]
 [ 4338 12134]]",0.019881478451221513,1.1906975064705037,0.01932330229360526
35,RAC1P,PINCP,LGBM,t-closeness,0.5,0.2215914847904173,0.19118306113676709,-0.00512118786494542,0.1705146505184443,0.008472027822430395,0.7152598377891258,0.7224385815935112,0.6998751843867015,0.7465052950075644,0.7154834855592549,"[[11475  5290]
 [ 4189 12336]]",0.02199933851171989,1.2145263177885555,0.021387252696973103
36,RAC1P,PINCP,LGBM,t-closeness,0.5,0.1932678416356643,0.1632541212511579,-0.001386455604618475,0.13157786276848793,0.03191346093639025,0.7205166716731751,0.722036328871893,0.7206583969465649,0.7234195402298851,0.7205063455399998,"[[11902  4684]
 [ 4620 12084]]",0.019699013626884098,1.1361484974539968,0.01915874802877522
37,RAC1P,PINCP,LGBM,t-closeness,0.5,0.33116565981788193,0.2581437645547967,-0.03530003830487305,0.3268094261156188,-0.012644833903776798,0.6687894262541304,0.7135359833723045,0.6291002382261316,0.8241507622134198,0.6686305891894619,"[[ 8532  8096]
 [ 2930 13732]]",0.0016501009277099226,0.42117617819025827,0.001636160189995207
38,RAC1P,PINCP,LGBM,t-closeness,0.5,0.32818600204748694,0.25867116778894383,-0.028987655194149697,0.315104902473252,0.010306987907224507,0.6668068489035747,0.7119260336588407,0.6251026178965612,0.8267583544456508,0.6674481097264156,"[[ 8492  8220]
 [ 2872 13706]]",0.0016109306321730559,0.32554513148631614,0.0015985295842678307
39,RAC1P,PINCP,LGBM,t-closeness,0.5,0.20486444395894404,0.18068443010748003,0.00045930817367767496,0.13978223685018357,0.037391204983674764,0.7130369480324422,0.7137506367422767,0.7116821033761578,0.71583122971511,0.7130381226644251,"[[11827  4825]
 [ 4728 11910]]",0.021931945473597517,0.9711342958037784,0.021255417203285637
0,RAC1P,PINCP,MLP,t-closeness,0.5,0.19778980284151537,0.1575967176432993,-0.00341300838224734,0.1450629439696106,0.03820997503695844,0.7151697206368278,0.7270895694220585,0.6953099196300782,0.7619133791772228,0.7153571204167588,"[[11177  5535]
 [ 3947 12631]]",0.019685263991872544,0.987306790427364,0.019148375977066187
1,RAC1P,PINCP,MLP,t-closeness,0.5,0.10422851657990012,0.05325055168138504,-0.003888192691679615,0.06807351040758236,0.05696277981574038,0.7153499549414238,0.7288542978138949,0.6934930574462292,0.7680154374962311,0.7155453975653778,"[[11078  5629]
 [ 3847 12736]]",0.02071729292571682,1.0968085227817534,0.020093664186673382
2,RAC1P,PINCP,MLP,t-closeness,0.5,0.14436244792592295,0.12098283251814279,0.010096320283218496,0.08234172318703695,0.06273727534134443,0.7179333133072995,0.7218107483557504,0.7132736108671468,0.7305547226386807,0.7179105241240349,"[[11718  4897]
 [ 4493 12182]]",0.020662677166196214,1.000450467268466,0.020089301728474254
3,RAC1P,PINCP,MLP,t-closeness,0.5,0.1115434253551219,0.052516742528671334,-0.0010677491130167693,0.0660171210961431,0.07638785984850516,0.7165815560228297,0.7329087048832271,0.6995406646852202,0.7696195005945303,0.7160180077350308,"[[10910  5560]
 [ 3875 12945]]",0.021228484224302,1.1299225771017822,0.020656586242083195
4,RAC1P,PINCP,MLP,t-closeness,0.5,0.18747938516298374,0.1716867853324775,0.007954110440288042,0.12050380647086154,0.04321646055161443,0.7159206969059778,0.7155875011277857,0.7143629158160202,0.7168162921009821,0.7159232721512518,"[[11936  4757]
 [ 4700 11897]]",0.020691151244594096,1.0548134227273602,0.02006505253316969
5,RAC1P,PINCP,MLP,t-closeness,0.5,0.137660264992169,0.11179226874943193,0.006395592146626994,0.08055474069428961,0.06107395451984721,0.7138780414538901,0.7164756660217294,0.7077746412608797,0.7253932855162437,0.7139152786045797,"[[11730  4969]
 [ 4556 12035]]",0.020655506021775752,0.9363473071178354,0.020071821259108124
6,RAC1P,PINCP,MLP,t-closeness,0.5,0.18230245602342265,0.15273071553479411,0.005373125943304968,0.1228326019620486,0.046886186238838556,0.7182337038149594,0.7272621539892998,0.7046427766508903,0.751381879355924,0.7182356951747781,"[[11404  5242]
 [ 4138 12506]]",0.02109023120969427,1.0856561469710362,0.020541863724507187
7,RAC1P,PINCP,MLP,t-closeness,0.5,0.14083449587670266,0.1162747262130801,0.010055423483038117,0.07542790978654856,0.07380337919726232,0.7168819465304896,0.7187154922851942,0.7102996696554978,0.7273331319842947,0.7169381524875164,"[[11824  4911]
 [ 4514 12041]]",0.021783600146311782,1.1030754925916608,0.021235522412904603
8,RAC1P,PINCP,MLP,t-closeness,0.5,0.13897557127731813,0.08969716441497821,0.008307885523619607,0.08727486770803239,0.07650830834044686,0.7152598377891258,0.7366871301980611,0.6891891891891891,0.791216659705233,0.7147360293263326,"[[10551  5980]
 [ 3499 13260]]",0.019775194103995385,1.0340908622765426,0.019186970490519338
9,RAC1P,PINCP,MLP,t-closeness,0.5,0.2107158457126062,0.17831067046891436,-0.005265768937076198,0.16235633714506598,0.00969873092101503,0.7147491739261039,0.7225825299444931,0.7035498919103425,0.7426735527263992,0.7147374254796801,"[[11427  5211]
 [ 4285 12367]]",0.0209139298555863,1.096663394460094,0.020400594397610237
10,RAC1P,PINCP,MLP,t-closeness,0.5,0.22726324077045784,0.1962119508526875,-0.002899550136941209,0.16364988147846274,0.028269925875867852,0.7176930009011715,0.7233441271710332,0.7054837783519954,0.7421322863183328,0.7178244341660382,"[[11606  5129]
 [ 4269 12286]]",0.019497580844006046,1.0284976682779774,0.01896011945403246
11,RAC1P,PINCP,MLP,t-closeness,0.5,0.18325173577593123,0.1634549379262289,0.009996996770603062,0.11666335701126723,0.057369319811752306,0.7165515169720637,0.7212407680945347,0.6976225854383358,0.7465141878669276,0.7170698227089981,"[[11647  5291]
 [ 4145 12207]]",0.02101592863124467,1.3117570179045903,0.020449101863796428
12,RAC1P,PINCP,MLP,t-closeness,0.5,0.2273277358474512,0.2033922280579803,1.754975621826027e-06,0.16468249710723837,0.026386323832716885,0.714148392910784,0.719441004776225,0.699438202247191,0.7406215855287119,0.7144175958090753,"[[11573  5243]
 [ 4273 12201]]",0.021150350975514428,1.1094340415168924,0.020619994865055565
13,RAC1P,PINCP,MLP,t-closeness,0.5,0.18566140001917097,0.15449549594934853,-0.0017701739482429701,0.12790900972028896,0.03280181006762062,0.7182937819164914,0.7209094696744242,0.7166863905325443,0.7251826128607353,0.7182701103850336,"[[11800  4788]
 [ 4590 12112]]",0.021838870889380965,1.3973283000658374,0.020977288576807085
14,RAC1P,PINCP,MLP,t-closeness,0.5,0.18911218632004761,0.16296793134031828,0.012680353556999147,0.11436905872433425,0.07916565164490919,0.7150796034845299,0.7242171372081528,0.7004893413577816,0.7496087636932708,0.7151437917770743,"[[11351  5325]
 [ 4160 12454]]",0.021184027611577536,1.0648269694160257,0.0205957165997334
15,RAC1P,PINCP,MLP,t-closeness,0.5,0.1826782804452704,0.15476207083886528,0.0016181649894848604,0.11627302024356703,0.04583398624291579,0.7209972964854311,0.7217162032598274,0.7227556409025444,0.7206797510770704,0.720998579845448,"[[11958  4620]
 [ 4668 12044]]",0.020035538579963836,1.0069904683845488,0.019540436332728377
