SEED,protected_att,target,method,k_parameter,anon_parameter,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
1,SEX,PINCP,k-anonymity,2,2,0.21816636288027635,0.16068737264882293,0.02035958946046046,0.12371226489555814,0.06222406770083455,0.7635626314208471,0.7663906449410857,0.7545879602571596,0.7785684134354459,0.7636183181680132,"[[12508  4199]
 [ 3672 12911]]",0.25109336,2.4195139176579916,0.13922101
1,SEX,PINCP,l-diversity,2,2,0.12071906324441337,0.1292729856895835,-0.05220168090617361,0.060388383716449306,0.11822486038704472,0.5958245719435266,0.437005732457425,0.7137780207763805,0.3149008020261714,0.594782058402204,"[[14613  2094]
 [11361  5222]]",0.005649569,0.5338517501109353,0.0049815816
0,SEX,PINCP,t-closeness,2,0.5,0.018497264623742238,0.02339340579469984,0.1326430098856462,-0.014481006899193516,0.1771345441915131,0.5422649444277561,0.6586622463151293,0.5238740022805017,0.8868379780431898,0.5436463705438543,"[[ 3350 13362]
 [ 1876 14702]]",0.0010457708,0.345073401927948,0.0009865331
1,SEX,PINCP,k-anonymity,3,3,0.21840174649836824,0.15944921210160268,0.01691530337835956,0.12621868659550659,0.05860871684993563,0.7622108741363773,0.7638142976488841,0.7559203921337034,0.7718748115540011,0.762246737194969,"[[12574  4133]
 [ 3783 12800]]",0.24946028,2.8443829092645956,0.13952054
0,SEX,PINCP,t-closeness,3,0.5,0.011154327738954528,-0.047023712359364644,0.01313291984508047,-0.059615121326198894,0.1700179370851579,0.6894262541303695,0.6940490634155002,0.6812082486203892,0.7073832790445168,0.6894982455538525,"[[11224  5488]
 [ 4851 11727]]",0.020977942,1.66164231300354,0.018734494
1,SEX,PINCP,k-anonymity,4,4,0.22849172022805264,0.17502053162806375,0.017455313848890874,0.1342739155365094,0.055052132020890765,0.7576148993691799,0.7568919285348438,0.7563222543352601,0.7574624615570162,0.7576143336695119,"[[12660  4047]
 [ 4022 12561]]",0.19669148,2.6854978304255757,0.11978694
1,SEX,PINCP,l-diversity,4,2,0.480176164476088,0.5616442929015951,0.07383465181958693,0.32308901468546725,0.04354010070761072,0.6653048963652749,0.6190769230769231,0.7147706639298966,0.5459808237351504,0.6648620824248267,"[[13094  3613]
 [ 7529  9054]]",0.014372636,0.8971181769714842,0.012949838
0,SEX,PINCP,t-closeness,4,0.5,0.010501368541821599,-0.047953089956696116,0.013121619268198326,-0.06012126119369432,0.1700472011080706,0.6895464103334334,0.6943302475525717,0.6811350316253699,0.7080468090240077,0.6896205801941484,"[[11217  5495]
 [ 4840 11738]]",0.02080477,1.4864293336868286,0.018578341
1,SEX,PINCP,k-anonymity,5,5,0.24235077798325422,0.1869078990855012,0.01761039266661557,0.151856532897211,0.05054455181893602,0.7556323220186242,0.7574610178587401,0.7490859771199434,0.7660254477476934,0.7556708911091374,"[[12452  4255]
 [ 3880 12703]]",0.19962144,2.738294984506404,0.12035854
1,SEX,PINCP,l-diversity,5,2,0.48482384772416864,0.5670195651852404,0.07464740580520746,0.3274784918029743,0.04391322232006889,0.6649143887053169,0.6192182966376515,0.7134990560100692,0.5469456672495929,0.6644766044992801,"[[13065  3642]
 [ 7513  9070]]",0.0153989615,1.1125023365020752,0.013913002
1,SEX,PINCP,k-anonymity,6,6,0.2342896255976205,0.1761627420898526,0.01704670466097702,0.14770423501390545,0.05624595839158342,0.7528386902973866,0.7567263911063805,0.7423284413249028,0.7716939033950431,0.7529086623577239,"[[12265  4442]
 [ 3786 12797]]",0.18642023,2.694771804968021,0.11271649
1,SEX,PINCP,l-diversity,6,2,0.47911720027426175,0.5578464321750004,0.0728047151913348,0.32456835613767104,0.04662397072278135,0.6653950135175728,0.6213671436826541,0.7120598317232782,0.551166857625279,0.6649711106226592,"[[13011  3696]
 [ 7443  9140]]",0.015084884,1.0322754383087158,0.013632746
0,SEX,PINCP,t-closeness,6,0.5,0.16022762400408064,0.11765701981454635,0.029888600620481265,0.06357172226208485,0.1304778630428658,0.7180534695103634,0.7217478951737223,0.7096304069021803,0.7342864036675112,0.7181185488897632,"[[11731  4981]
 [ 4405 12173]]",0.03558611,2.328730821609497,0.031757608
