SEED,dataset,protected_att,target,method,anon_parameter,supp_level,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM
89,ACSIncome_26000,SEX,PINCP,k-anonymity,10,50,0.27928218736797633,0.40427019457004765,-0.07666877904520486,0.13161912016628607,0.15573984248683048,0.7785772192946899,0.5779408924087309,0.6862385321100918,0.49916583249916585,0.6998085020449548,"[[6187  684]
 [1501 1496]]"
90,ACSIncome_26000,SEX,PINCP,k-anonymity,10,10,0.2691102686650884,0.43032274514319546,-0.06972679965611739,0.13333637627922248,0.10615104163070266,0.7840890031866719,0.5466071847851608,0.6707000864304236,0.4612641172974044,0.6861227128543096,"[[11697  1143]
 [ 2719  2328]]"
91,ACSIncome_26000,SEX,PINCP,k-anonymity,10,20,0.29194878199055274,0.48864673272421577,-0.0562469497315764,0.14738895218615464,0.12083855036171398,0.777060342803475,0.5417471042471043,0.6643977508138502,0.45732328376451414,0.6819064674780352,"[[10993  1134]
 [ 2664  2245]]"
92,ACSIncome_26000,SEX,PINCP,k-anonymity,10,30,0.29075440826901416,0.4000949591345018,-0.0701503547638167,0.1424446985031483,0.19506477002940392,0.7697990747773251,0.5815763052208835,0.6563739376770539,0.5220820189274448,0.7006627118031947,"[[8832 1213]
 [2121 2317]]"
93,ACSIncome_26000,SEX,PINCP,k-anonymity,10,40,0.29499363930978983,0.4073299704794933,-0.08174194087016984,0.15414883547361036,0.13548571241101015,0.7705472362155821,0.5701357466063348,0.6639566395663956,0.49954689623923876,0.6943998250175057,"[[8961 1116]
 [2209 2205]]"
94,ACSIncome_26000,SEX,PINCP,k-anonymity,10,50,0.29994840266331135,0.43316446256259306,-0.07416191359462265,0.14470444793245318,0.1645230112770497,0.7787682333873582,0.5860500379075056,0.681057268722467,0.5143047238855623,0.7044287965480825,"[[6142  724]
 [1460 1546]]"
95,ACSIncome_26000,SEX,PINCP,k-anonymity,10,10,0.2805022423850886,0.45152433407033055,-0.07221109229871081,0.13831302180772242,0.143109776005511,0.7840273113946721,0.5511224845876469,0.6658234963462619,0.4701329628894622,0.6887261587383626,"[[11640  1189]
 [ 2670  2369]]"
96,ACSIncome_26000,SEX,PINCP,k-anonymity,10,20,0.2841765264319968,0.4747817842229505,-0.058891503906634,0.1367125854167361,0.134409938755091,0.780870890230323,0.5456313039251428,0.6782477341389728,0.4563935759300671,0.6843479737357845,"[[11079  1065]
 [ 2674  2245]]"
97,ACSIncome_26000,SEX,PINCP,k-anonymity,10,30,0.30743245528752106,0.4371316637671778,-0.07402233990958995,0.15809517576758303,0.11793495730437586,0.7770713841476056,0.5809301117173292,0.6743063932448733,0.5102692834322228,0.701611002108618,"[[9009 1080]
 [2146 2236]]"
98,ACSIncome_26000,SEX,PINCP,k-anonymity,10,40,0.30289248990253714,0.43518219929055146,-0.07897923452843791,0.15996776084304548,0.14139202796245964,0.7747073897084286,0.5711272247857614,0.6531966224366706,0.5073787772312017,0.6971505488909204,"[[9020 1150]
 [2103 2166]]"
99,ACSIncome_26000,SEX,PINCP,k-anonymity,10,50,0.30702698604155515,0.45837222225798213,-0.06869369341586373,0.1557661207451307,0.09356540084388187,0.7820889474217404,0.5811100292112951,0.6809675947056139,0.5067934782608695,0.7029419968177453,"[[6228  699]
 [1452 1492]]"
