SEED,protected_att,target,method,anon_parameter,threshold_target,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
10,SEX,PINCP,k-anonymity,10,7000,0.02266216058502457,0.011240516524364974,0.038161855332652705,-0.036658870414991496,0.033137189263372835,0.9127065184740162,0.9521630341739645,0.9320034803905771,0.9732139852609617,0.6913369114661931,"[[ 1463  2110]
 [  796 28921]]",0.08379876,2.5201361179351807,0.04921469
11,SEX,PINCP,k-anonymity,10,7000,0.02776647560315626,0.014848905237727195,0.03565125322251994,-0.007639343486525063,0.027232719231713443,0.913848002403124,0.952743450321305,0.9326129032258065,0.9737622094981475,0.6967422158601848,"[[ 1511  2089]
 [  779 28911]]",0.08905471,2.3261744525113,0.051324055
12,SEX,PINCP,k-anonymity,10,7000,0.026895490654797016,0.013274765652181886,0.02716494491229715,0.03644539057618856,0.01886793161259903,0.9174827275458095,0.9551590734725193,0.9330293076506043,0.9783640984483681,0.6790816357569661,"[[ 1286  2100]
 [  647 29257]]",0.077456474,4.129544734954834,0.045762
13,SEX,PINCP,k-anonymity,10,7000,0.021974548979282305,0.01142886870786286,0.03623668476176545,-0.03135175241003085,0.030584645244766784,0.91402823670772,0.9530080126100092,0.9328211886471023,0.9740878729902998,0.6882163700095909,"[[ 1407  2090]
 [  772 29021]]",0.08567263,2.8313722610473633,0.049534913
14,SEX,PINCP,k-anonymity,10,7000,0.025846465235035976,0.014133501342832422,0.035721720419956804,-0.027852559661801002,0.027946652392976667,0.9155602282967858,0.9536406365960254,0.9371191494878776,0.9707551287647316,0.7087878865950832,"[[ 1567  1940]
 [  871 28912]]",0.08912234,2.5971869856941923,0.050832927
15,SEX,PINCP,k-anonymity,10,7000,0.020148429946150292,0.009426750645248672,0.033908087742924975,-0.02397450830286163,0.029468100095960015,0.9170621808350856,0.9549217130075593,0.9341340318149876,0.9766556457268811,0.6802907747606619,"[[ 1285  2062]
 [  699 29244]]",0.07799235,2.312097948071492,0.04540446
16,SEX,PINCP,k-anonymity,10,7000,0.019593283192476996,0.011127662080971823,0.03370239402323638,-0.043238900161202465,0.02763629257693989,0.9194953439471313,0.9560338604895334,0.9360704189154458,0.9768673729381789,0.7010275628411288,"[[ 1472  1990]
 [  690 29138]]",0.08462447,2.541049867001448,0.0491762
17,SEX,PINCP,k-anonymity,10,7000,0.024128543616243725,0.009185642181558928,0.033406431161386974,-0.018683531720526836,0.030230326675172337,0.9150195253829979,0.9534129271305064,0.9369800938663214,0.9704324505531344,0.7038578437736771,"[[ 1513  1947]
 [  882 28948]]",0.08696399,2.3035091996861397,0.050018337
18,SEX,PINCP,k-anonymity,10,7000,0.02436728346332373,0.009098534746819431,0.029773225500908662,0.016634196531829737,0.02584215642519716,0.9150495644337638,0.953643903878307,0.9307884295405094,0.9776500638569604,0.6829709595302902,"[[ 1373  2163]
 [  665 29089]]",0.087067865,2.8975448608398438,0.049851373
19,SEX,PINCP,k-anonymity,10,7000,0.024518218057099084,0.012754143414004826,0.03193184450715314,-0.014726020791945515,0.024869416224900243,0.9161910483628717,0.9540952318273059,0.9375282933454051,0.9712582071552994,0.7046517911867247,"[[ 1506  1932]
 [  858 28994]]",0.08924934,2.5223575537970477,0.050307147
20,SEX,PINCP,k-anonymity,10,7000,0.029905454697673806,0.017168328480292372,0.03199000654732087,0.016727414735745905,0.02083331013805878,0.9160708921598077,0.9541395837436807,0.9354984067720236,0.9735387707251717,0.6950663285940268,"[[ 1431  2004]
 [  790 29065]]",0.082274884,1.8056928788925937,0.046649296
