SEED,protected_att,target,method,anon_parameter,fraction,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
18,SEX,PINCP,k-anonymity,10,0.1,0.21899444049061978,0.1560167844893472,0.010857246551063793,0.13895725395538017,0.05474633357991665,0.7508260738960649,0.7543750555210091,0.7450865699578849,0.7638980509745128,0.7508024711688693,"[[12257  4358]
 [ 3937 12738]]",0.118987255,2.2047224044799805,0.08510007
19,SEX,PINCP,k-anonymity,10,0.1,0.23420160126785527,0.18019464631120363,0.019864963050249762,0.13631578901368593,0.06670028879659551,0.7521477921297687,0.7523932419049905,0.749715926080976,0.7550897482231056,0.7521553726733936,"[[12503  4185]
 [ 4066 12536]]",0.12405203,3.976046562194824,0.08740737
20,SEX,PINCP,k-anonymity,10,0.1,0.2204190638048098,0.15934083746921868,0.01192820507661363,0.13812019334191025,0.058872184070905886,0.7501652147792129,0.7521530530142742,0.7394820110160553,0.7652659026135468,0.7503036459909809,"[[12353  4446]
 [ 3871 12620]]",0.11776965,2.336632569630941,0.08443156
21,SEX,PINCP,k-anonymity,10,0.1,0.24078282146901658,0.18141485405488267,0.013542174761214776,0.1527534349387261,0.051620660423382314,0.7541303694803244,0.7549474566629742,0.7456384174108462,0.7644918748484113,0.754224744425039,"[[12497  4301]
 [ 3884 12608]]",0.12488767,2.860962152481079,0.088423215
22,SEX,PINCP,k-anonymity,10,0.1,0.23399206574223363,0.16874998383223538,0.01285875246642465,0.15073219799409757,0.05421266875703168,0.7521177530790027,0.7568077331132852,0.7467721298127253,0.7671167403512964,0.7520334789238358,"[[12198  4354]
 [ 3898 12840]]",0.11554029,3.434417170340539,0.084160365
23,SEX,PINCP,k-anonymity,10,0.1,0.22175045447996988,0.16006113451721748,0.015899598516908697,0.13330868704240192,0.06595679379808006,0.7517572844698107,0.7554450757575758,0.7453430656934307,0.7658246835063299,0.7517386667245902,"[[12262  4361]
 [ 3903 12764]]",0.12244573,2.5385598138889995,0.086730376
24,SEX,PINCP,k-anonymity,10,0.1,0.22164292605394914,0.1555604748357643,0.012677013116066727,0.1398628988812833,0.05744389305396769,0.7547011114448784,0.7601762114537445,0.744606179161153,0.7764113024176615,0.7546697628747955,"[[12182  4439]
 [ 3727 12942]]",0.11870726,2.9848725796463453,0.085497156
25,SEX,PINCP,k-anonymity,10,0.1,0.20246051410702448,0.1371822158760635,0.016317732184061295,0.10850433049778524,0.08187291869891355,0.7533493541604085,0.7560823456019962,0.7489406779661016,0.7633615260032391,0.7533336903739043,"[[12353  4266]
 [ 3945 12726]]",0.12088,2.730783224105835,0.08693845
26,SEX,PINCP,k-anonymity,10,0.1,0.22485181710309649,0.15523993444249518,0.013861582525358074,0.1316359434015446,0.07750880567494378,0.7528386902973866,0.7552938377349513,0.742095727894337,0.7689699025010598,0.7529656092942804,"[[12364  4413]
 [ 3815 12698]]",0.11390213,2.8645713329315186,0.08196161
27,SEX,PINCP,k-anonymity,10,0.1,0.2257247744912943,0.16236505923915445,0.016294821437613516,0.13500392694883967,0.06764057068316698,0.7531991589065785,0.7572104018912529,0.7464460498718247,0.768289757735668,0.7531710014150833,"[[12262  4352]
 [ 3864 12812]]",0.122292,2.5872926295985565,0.087706536
28,SEX,PINCP,k-anonymity,10,0.1,0.22422070017444762,0.15594077313611543,0.013615311316426348,0.13784723904913573,0.06985762407963825,0.7505557224391709,0.7553905973842348,0.7400438647119936,0.7713873180122729,0.7505844677414376,"[[12164  4504]
 [ 3800 12822]]",0.13043198,2.967930201425172,0.090691194
29,SEX,PINCP,k-anonymity,10,0.1,0.21898033665013755,0.16592401841017845,0.019709114810472772,0.12947537389412486,0.06985264430678317,0.7476118954641033,0.7498660315570109,0.7366635470285446,0.7635503819570753,0.7477551862154987,"[[12294  4502]
 [ 3900 12594]]",0.121459134,2.745921465625628,0.08626589
