SEED,protected_att,target,method,anon_parameter,threshold_target,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
37,race,v_decile_score,l-diversity,2.0,2,-0.7857142857142857,-0.7511961722488039,-0.1558975563909774,-0.8158995815899581,-0.1655701754385965,0.6410984848484849,0.7177959791511541,0.6846590909090909,0.7543035993740219,0.6109647493272987,"[[195 222]
 [157 482]]",0.022548106,0.2392235944662272,0.016451113
38,race,v_decile_score,l-diversity,2.0,2,-0.1534700696055684,-0.0319182389937107,-0.0300213457076565,-0.1287229013304517,-0.107370691633393,0.7509469696969697,0.8106551475881929,0.7456953642384105,0.88801261829653,0.7165181574894972,"[[230 192]
 [ 71 563]]",0.086417824,1.7164634466171265,0.071031764
39,race,v_decile_score,l-diversity,2.0,2,-0.2126235399820305,-0.0140350877192982,-0.0275381850853548,-0.2253623188405797,-0.1334324553950722,0.7642045454545454,0.827681660899654,0.7484355444305382,0.9256965944272446,0.7177263459941101,"[[209 201]
 [ 48 598]]",0.091114014,2.310622453689575,0.07349321
0,race,v_decile_score,t-closeness,0.5,2,-0.804147465437788,-0.7526315789473684,-0.0922918488005097,-0.8442622950819672,-0.1222999810856818,0.6373106060606061,0.7091875474563402,0.6605374823196606,0.7655737704918033,0.6137285892817761,"[[206 240]
 [143 467]]",0.020048965,0.2343043407485812,0.014870308
1,race,v_decile_score,t-closeness,0.5,2,-0.8009153318077803,-0.7602040816326531,-0.1190855554282208,-0.8340248962655602,-0.1463613911945481,0.6373106060606061,0.7113790504898266,0.6685552407932012,0.7600644122383253,0.6110666888777834,"[[201 234]
 [149 472]]",0.019569013,0.2229033857583999,0.014918892
2,race,v_decile_score,t-closeness,0.5,2,-0.7990867579908676,-0.7939698492462312,-0.1735381478033425,-0.803347280334728,-0.2395925272138864,0.6335227272727273,0.7114093959731543,0.6756373937677054,0.7511811023622047,0.6036190547440476,"[[192 229]
 [158 477]]",0.027366119,0.2143726956927186,0.020755379
3,race,v_decile_score,t-closeness,0.5,2,-0.8066825775656324,-0.7892156862745098,-0.1907959071273084,-0.8232558139534883,-0.1849913754675659,0.6401515151515151,0.7242380261248186,0.6949860724233984,0.7560606060606061,0.6015151515151516,"[[177 219]
 [161 499]]",0.02656454,0.2467264289241668,0.019469101
4,race,v_decile_score,t-closeness,0.5,2,-0.7658536585365854,-0.7172774869109948,-0.1130559540889527,-0.8082191780821918,-0.1139705882352941,0.6325757575757576,0.7167883211678832,0.6617250673854448,0.7818471337579618,0.5976992678135603,"[[177 251]
 [137 491]]",0.019939318,0.2094510817515559,0.014604825
5,race,v_decile_score,t-closeness,0.5,2,-0.7897196261682243,-0.7892156862745098,-0.2089112447169474,-0.7901785714285714,-0.2451521585279546,0.6382575757575758,0.7223837209302325,0.692200557103064,0.7553191489361702,0.6000213835133112,"[[177 221]
 [161 497]]",0.02035873,0.1642845124006271,0.014834623
6,race,v_decile_score,t-closeness,0.5,2,-1.0,-1.0,-0.2078272604588393,-1.0,-0.7113237639553429,0.6268939393939394,0.6936236391912908,0.7113237639553429,0.6767830045523521,0.6104318045431785,"[[216 181]
 [213 446]]",0.017311646,0.1909649260856472,0.013923662
7,race,v_decile_score,t-closeness,0.5,2,-0.8138424821002387,-0.7688442211055276,-0.1715117477135888,-0.8545454545454545,-0.1402407116692831,0.6619318181818182,0.7411167512690355,0.7146853146853147,0.7695783132530121,0.624585074993853,"[[188 204]
 [153 511]]",0.022027344,0.2035712170626496,0.017005574
8,race,v_decile_score,t-closeness,0.5,2,-0.8193384223918575,-0.7640449438202247,-0.1136633161779098,-0.8651162790697674,-0.1022666921589871,0.6515151515151515,0.7317784256559767,0.6839237057220708,0.786833855799373,0.6159049661771985,"[[186 232]
 [136 502]]",0.026242388,0.2042087513666497,0.019630052
