SEED,dataset,protected_att,target,method,anon_parameter,supp_level,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,INF
34,ACSIncome_26000,SEX,PINCP,l-diversity,2,50,-0.10257142857142854,-0.06257359125315393,0.052000000000000046,-0.13054981397271598,0.041717791411042926,0.5282608695652173,0.3988919667590028,0.4198250728862974,0.37994722955145116,0.5060549456444872,"[[342 199]
 [235 144]]",0.7291234002756369
35,ACSIncome_26000,SEX,PINCP,l-diversity,2,10,-0.056897179985897564,-0.013144841269841251,0.06201286255803051,-0.08679375604365244,0.11292372881355939,0.5739130434782609,0.24615384615384617,0.460431654676259,0.1679790026246719,0.5144162174533378,"[[464  75]
 [317  64]]",0.07549267355367387
36,ACSIncome_26000,SEX,PINCP,l-diversity,2,20,0.03772745324140306,0.07506172839506173,0.02474174517581429,0.013590741632711525,0.09983633387888707,0.5858695652173913,0.21765913757700206,0.424,0.1464088397790055,0.5086882908572447,"[[486  72]
 [309  53]]",0.09083742451961427
37,ACSIncome_26000,SEX,PINCP,l-diversity,2,30,-0.15371797245524332,-0.15053546752648547,0.00910562621356914,-0.1546678175491598,0.013397129186602907,0.5456521739130434,0.23161764705882354,0.3727810650887574,0.168,0.4867522935779816,"[[439 106]
 [312  63]]",0.2072539755645933
38,ACSIncome_26000,SEX,PINCP,l-diversity,2,40,-0.12127532062807139,-0.06911928651059085,0.060985257101762,-0.15468366974391068,0.07553191489361705,0.5304347826086957,0.3493975903614458,0.3853820598006645,0.31955922865013775,0.493711391703884,"[[372 185]
 [247 116]]",0.24338761357521949
39,ACSIncome_26000,SEX,PINCP,l-diversity,2,50,-0.20676620317605043,-0.16615853658536583,0.05468809360990812,-0.23634229620145114,0.1526676279740447,0.5619565217391305,0.3249581239530988,0.4311111111111111,0.260752688172043,0.5135880229181383,"[[420 128]
 [275  97]]",0.6020823978455321
40,ACSIncome_26000,SEX,PINCP,l-diversity,2,10,-0.08075928180158246,-0.06876133575162702,0.033893791844187504,-0.09076660017098888,-0.03570258761873568,0.5347826086956522,0.14741035856573706,0.32456140350877194,0.09536082474226804,0.4753119913185025,"[[455  77]
 [351  37]]",0.08582016510439983
41,ACSIncome_26000,SEX,PINCP,l-diversity,2,20,0.1323934648576109,0.13983880253310305,0.020655137995424844,0.12518793909406523,0.006243032329988851,0.5489130434782609,0.2125237191650854,0.36363636363636365,0.15013404825737264,0.48548749944861325,"[[449  98]
 [317  56]]",0.10721808976315443
42,ACSIncome_26000,SEX,PINCP,l-diversity,2,30,-0.028144280968201235,0.0015055202408832402,0.0482202183198861,-0.04905119942713927,0.0673234811165846,0.5652173913043478,0.2,0.4132231404958678,0.13192612137203166,0.5003438370261267,"[[470  71]
 [329  50]]",0.14617614876723486
43,ACSIncome_26000,SEX,PINCP,l-diversity,2,40,0.035926131064812836,0.06770717205499814,0.030974393932938438,0.011178861788617891,0.1132867132867133,0.5467391304347826,0.18395303326810175,0.43119266055045874,0.11691542288557213,0.49861215159722627,"[[456  62]
 [355  47]]",0.09217915912411954
